Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
SAH/RTT,PERSOONIA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,PHARMACOLOGICAL RESEARCH,YES,Letter to the Editor,Letters to the Editor on relevant issues of pharmacology or commenting on the published literature are also welcome.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PHARMACOLOGICAL RESEARCH,YES,Letters to the Editor,"Letters to the Editor on relevant issues of pharmacology or commenting on the published literature
are also welcome.
",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,PHARMACOLOGICAL RESEARCH,YES,Letters to the Editor,"Letters to the Editor on relevant issues of pharmacology or commenting on the published literature
are also welcome.
",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Physical Review X,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Physical Review X,YES,Comment/Reply,"Not much information - just a mention in the table of page limits that it exists.

PRX	
Research Article: 20,000 words
Comment/Reply: 3,500 words","YES (provide number of words/comments below), 3500 words",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,Physical Review X,YES,Comment/Reply,"Not much information - just a mention in the table of page limits that it exists.

PRX	
Research Article: 20,000 words
Comment/Reply: 3,500 words","YES (provide number of words/comments below), 3500 words",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Physics of the Dark Universe,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Physics of the Dark Universe,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,Physics of the Dark Universe,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,PLANT BIOTECHNOLOGY JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,PLANT BIOTECHNOLOGY JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,PLANT BIOTECHNOLOGY JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,PLANT CELL,YES,Comment,"Letters that focus on a particular previously published manuscript in The Plant Cell, and raise questions or perceived problems of interpretation or methodology, will be considered for publication as a reader Comment.","YES (provide number of words/comments below), 1000 words",NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PLANT CELL,YES,Reader Comments,"Reader Comments: letters that focus on a particular previously published manuscript in The Plant Cell, and raise questions or perceived problems of interpretation or methodology, will be considered for publication as a reader Comment. Such Comments (limited to ~1000 words) are posted as supplemental to the original manuscript of focus with a link in the “Extras” box on the right hand side of the article online. As for Letters to the Editor, all such Comments are assessed by members of the editorial board and will be externally reviewed if found to be of potential interest and importance to the readership. Authors of the original publication that is the focus of a reader Comment will be given the opportunity to publish an author Reply in the same manner. Reader Comment and author Reply submissions will be declined (with or without external review) if considered of insufficient interest, lacking in scholarship or accuracy, or lacking in providing new insight to the debated issue. Authors should submit a potential reader Comment as a Letter to the Editor for assessment and potential review; if accepted for publication, journal editors will take care of formatting and posting as a reader Comment or author Reply, as appropriate.","YES (provide number of words/comments below), 1000",NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,PLANT CELL,YES,Reader Comments,"Reader Comments: letters that focus on a particular previously published manuscript in The Plant Cell, and raise questions or perceived problems of interpretation or methodology, will be considered for publication as a reader Comment. Such Comments (limited to ~1000 words) are posted as supplemental to the original manuscript of focus with a link in the “Extras” box on the right hand side of the article online. As for Letters to the Editor, all such Comments are assessed by members of the editorial board and will be externally reviewed if found to be of potential interest and importance to the readership. Authors of the original publication that is the focus of a reader Comment will be given the opportunity to publish an author Reply in the same manner. Reader Comment and author Reply submissions will be declined (with or without external review) if considered of insufficient interest, lacking in scholarship or accuracy, or lacking in providing new insight to the debated issue. Authors should submit a potential reader Comment as a Letter to the Editor for assessment and potential review; if accepted for publication, journal editors will take care of formatting and posting as a reader Comment or author Reply, as appropriate.","YES (provide number of words/comments below), 1000",NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PLANT CELL AND ENVIRONMENT,YES,"Commentary (""Commentaries"")","""Commentaries are invited short contributions, which highlight the context and new findings of a particular paper published in the same or a recent issue of Plant, Cell and Environment.""",NOT STATED,"UNCLEAR (provide detail below), Note: The information describes ""commentaries"" as being related to ""a particular paper published in the same or a recent issue of Plant, Cell and Environment."". The word ""recent"" is not further defined.",NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PLANT CELL AND ENVIRONMENT,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,PLANT CELL AND ENVIRONMENT,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PLANT JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,PLANT JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,PLANT JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,PLANT PHYSIOLOGY,Unclear whether Letters to the Editor serves as PPPR. Under-described.,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,PLANT PHYSIOLOGY,YES,Letters,Letters are unsolicited and provide a forum for scientific correspondence on new research findings and ideas that are highly focused,"YES (provide number of words/comments below), 1000",NOT STATED,"YES (provide number of references below), 20",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,PLANT PHYSIOLOGY,YES,Letters,Letters are unsolicited and provide a forum for scientific correspondence on new research findings and ideas that are highly focused,"YES (provide number of words/comments below), 1000",NOT STATED,"YES (provide number of references below), 20",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PLOS BIOLOGY,YES,"Commentary (""Update Articles"")","""Update Articles provide a well-elucidated, robust mechanism or understanding of the phenomenon described in a published Discovery Report. Results should go well beyond confirming the original observations…  Recognizing the importance of correcting the scientific record when needed, we do consider negative Update Articles. Negative updates require a clear, well-supported explanation for why the initial observation did not work as expected, or did not hold up to further scrutiny.""",NOT STATED,NOT STATED,NOT STATED,"YES, ""Update Articles undergo the same rigorous editorial and peer review process as other PLOS Biology articles.""",YES (opens another page),"Below the line comments (""Comments"")","""Comments""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NOT STATED,"NO, ""Readers are encouraged to request review of a comment that does not adhere to PLOS Commenting Guidelines. To request review, click the  “Report a concern” link in the bottom-right corner of the window. Indicate why the content should be reviewed (“Spam,” “Offensive,” “Inappropriate,” or “Other”), enter additional information in the text box, and click “Submit”. PLOS staff will investigate the content, which may involve consulting external experts if necessary.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PLOS BIOLOGY,YES,Formal Comments,"Formal Comments are intended to provide a formal outlet for the discussion of significant aspects of interpretation of research findings associated with specific articles published in PLOS Biology. They are designed to ensure that readers obtain a balanced view of a scientific or meta-scientific/policy question, especially in areas of debate/controversy. Formal Comments are peer-reviewed and indexed in PubMed.

Please note that Formal Comments are not meant to address ethical issues—if you have ethical concerns about a PLOS Biology article, email our editorial office, plosbiology@plos.org.

Formal comments are considered exclusively by invitation. If you would like to be considered for an invitation to write a Formal Comment, please send your inquiry and a summary of the details via email to plosbiology@plos.org.

Formal Comments must be coherent, concise, and well-argued, and are subject to the PLOS Biology criteria for publication. Editors will, as a matter of course, invite the authors of the original article to submit a response to the Formal Comment. Any revisions (of the Formal Comment or the response) will be shared with the authors of the associated comment.","YES (provide number of words/comments below), 1000 words for comment; 700 for response",NOT STATED,"YES (provide number of references below), ""~10""",YES,YES (opens another page),Reader Comments,"verview
PLOS journal web sites provide the ability for users to comment on articles to facilitate community evaluation and discourse around published articles.

Comments should be used to make additions or clarifications, identify and link to material, and are designed to lead to threaded discussions concerning the content, conclusions, and consequences of a specific article.

Authors of all comments will be identified by their PLOS username.

Terms of Use
All comments and other post-publication activity in PLOS web sites are subject to the PLOS Terms of Use.

Who Can Contribute?
All registered users are able to add comments to any article. Anyone can register as a user. Users are required to unambiguously identify themselves with their first and last names, their geographic location, and a valid email address in order to register.

First and last name and geographic location are made public, however email addresses are private. The email address and other registration fields that the user chooses to make private will be kept strictly confidential by PLOS staff unless otherwise indicated. Discussion and ratings are not anonymous.

PLOS reserves the right to suspend the privileges of any registered user. Any registered user who is found to have provided false name or location information will have their account suspended and any postings deleted.

Adding and Viewing Comments
To add a comment about an article, first log into the web site. To create a comment, click the “Comments” tab at the top of the article. Click the “Post a new comment” link and enter a title and the text of the  comment in the appropriate boxes; completion of the competing interests statement is required.

Comments should be written in a word-processing program that allows for spell checking before they are copied and pasted into the comment field. Click “Post” to attach the comment to the article. Any correctly formed URLs in the comment text field will automatically become working links.

To view all comments on an article, along with any replies, click the “Comments” tab at the top of the article.

Responding to Comments
To respond to a comment, click the “Respond to this Posting” link in the bottom-right corner of the window. Enter a title and the text of the response in the appropriate boxes. Responses should be written in a word-processing program that allows for spell checking before they are copied and pasted into the comment field. Click “Post” to attach the response. Any correctly formed URLs in the response text field will automatically become working links.

Following this procedure, up to twelve branching threads can be anchored to an initial comment. If any contribution is removed following moderation, all subsequent responses along its thread will also be removed.

Good Practice
All contributions must conform to the norms of civilized scientific discussion. Any contributions that do not meet these standards will be removed. Any users who consistently transgress these conventions will have their user privileges removed.

A partial list of discussion standards includes the following:

Language that is insulting, inflammatory, or obscene will not be tolerated.
Unsupported assertions or statements should be avoided. Comments must be evidence-based, not authority-based.
When previously published studies are cited, they must be accurately referenced and, where possible, a DOI and link to a publicly accessible version supplied.
Unpublished data should be provided with sufficient methodological detail for those data to be assessed. Alternatively, a permanent web link to such information should be provided.
Arguments based on belief are to be avoided. For example the assertion, “I don't believe the results in Figure 2” must be supported.
Discussions should be confined to the demonstrable content of articles and should avoid speculation about the motivations or prejudices of authors.
Questions about experimental data are appropriate, but need to be phrased in a way that does not imply any misconduct on the part of the authors. If a reader is concerned about potential misconduct, such concerns must always be raised with senior editorial staff at PLOS. Contact the journal.
Concerned readers should not rely solely on posting their comments on blogs, social media, or other third party websites to make us aware of concerns, but should ensure to contact the journal directly.
PLOS is the final arbiter of the suitability of content for inclusion in PLOS web sites.

Flagging Inappropriate Content
Readers are encouraged to request review of a comment that does not adhere to PLOS Commenting Guidelines. To request review, click the  “Report a concern” link in the bottom-right corner of the window. Indicate why the content should be reviewed (“Spam,” “Offensive,” “Inappropriate,” or “Other”), enter additional information in the text box, and click “Submit”. PLOS staff will investigate the content, which may involve consulting external experts if necessary.

Any content that PLOS staff deem to be inappropriate will be removed. Any users who consistently post inappropriate material will have their user privileges removed. If any contribution is removed, all subsequent responses along its thread will also be removed.

PLOS is the final arbiter of the suitability of content for inclusion in PLOS web sites.","NOT STATED, however, it appears I can enter as much text as I'd like","NOT STATED, however, it appears there is no limit",NO,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,PLOS BIOLOGY,YES,Update articles,"""Update Articles provide a well-elucidated, robust mechanism or understanding of the phenomenon described in a published Discovery Report. Results should go well beyond confirming the original observations…  Recognizing the importance of correcting the scientific record when needed, we do consider negative Update Articles. Negative updates require a clear, well-supported explanation for why the initial observation did not work as expected, or did not hold up to further scrutiny.""",NOT STATED,NOT STATED,NOT STATED,"YES, ""Update Articles undergo the same rigorous editorial and peer review process as other PLOS Biology articles.""",YES (opens another page),Reader Comments [below the line],"verview
PLOS journal web sites provide the ability for users to comment on articles to facilitate community evaluation and discourse around published articles.

Comments should be used to make additions or clarifications, identify and link to material, and are designed to lead to threaded discussions concerning the content, conclusions, and consequences of a specific article.

Authors of all comments will be identified by their PLOS username.

Terms of Use
All comments and other post-publication activity in PLOS web sites are subject to the PLOS Terms of Use.

Who Can Contribute?
All registered users are able to add comments to any article. Anyone can register as a user. Users are required to unambiguously identify themselves with their first and last names, their geographic location, and a valid email address in order to register.

First and last name and geographic location are made public, however email addresses are private. The email address and other registration fields that the user chooses to make private will be kept strictly confidential by PLOS staff unless otherwise indicated. Discussion and ratings are not anonymous.

PLOS reserves the right to suspend the privileges of any registered user. Any registered user who is found to have provided false name or location information will have their account suspended and any postings deleted.

Adding and Viewing Comments
To add a comment about an article, first log into the web site. To create a comment, click the “Comments” tab at the top of the article. Click the “Post a new comment” link and enter a title and the text of the  comment in the appropriate boxes; completion of the competing interests statement is required.

Comments should be written in a word-processing program that allows for spell checking before they are copied and pasted into the comment field. Click “Post” to attach the comment to the article. Any correctly formed URLs in the comment text field will automatically become working links.

To view all comments on an article, along with any replies, click the “Comments” tab at the top of the article.

Responding to Comments
To respond to a comment, click the “Respond to this Posting” link in the bottom-right corner of the window. Enter a title and the text of the response in the appropriate boxes. Responses should be written in a word-processing program that allows for spell checking before they are copied and pasted into the comment field. Click “Post” to attach the response. Any correctly formed URLs in the response text field will automatically become working links.

Following this procedure, up to twelve branching threads can be anchored to an initial comment. If any contribution is removed following moderation, all subsequent responses along its thread will also be removed.

Good Practice
All contributions must conform to the norms of civilized scientific discussion. Any contributions that do not meet these standards will be removed. Any users who consistently transgress these conventions will have their user privileges removed.

A partial list of discussion standards includes the following:

Language that is insulting, inflammatory, or obscene will not be tolerated.
Unsupported assertions or statements should be avoided. Comments must be evidence-based, not authority-based.
When previously published studies are cited, they must be accurately referenced and, where possible, a DOI and link to a publicly accessible version supplied.
Unpublished data should be provided with sufficient methodological detail for those data to be assessed. Alternatively, a permanent web link to such information should be provided.
Arguments based on belief are to be avoided. For example the assertion, “I don't believe the results in Figure 2” must be supported.
Discussions should be confined to the demonstrable content of articles and should avoid speculation about the motivations or prejudices of authors.
Questions about experimental data are appropriate, but need to be phrased in a way that does not imply any misconduct on the part of the authors. If a reader is concerned about potential misconduct, such concerns must always be raised with senior editorial staff at PLOS. Contact the journal.
Concerned readers should not rely solely on posting their comments on blogs, social media, or other third party websites to make us aware of concerns, but should ensure to contact the journal directly.
PLOS is the final arbiter of the suitability of content for inclusion in PLOS web sites.

Flagging Inappropriate Content
Readers are encouraged to request review of a comment that does not adhere to PLOS Commenting Guidelines. To request review, click the  “Report a concern” link in the bottom-right corner of the window. Indicate why the content should be reviewed (“Spam,” “Offensive,” “Inappropriate,” or “Other”), enter additional information in the text box, and click “Submit”. PLOS staff will investigate the content, which may involve consulting external experts if necessary.

Any content that PLOS staff deem to be inappropriate will be removed. Any users who consistently post inappropriate material will have their user privileges removed. If any contribution is removed, all subsequent responses along its thread will also be removed.

PLOS is the final arbiter of the suitability of content for inclusion in PLOS web sites.",NOT STATED,NOT STATED,NO,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PLoS One,YES,"Below the line comments (""Reader Comments"")","""Reader Comments - Post a new comment on this article""","NOT STATED, ""Note: Text is submitted via a text box of unknown size.""",NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,PLoS One,YES,Below the line comments,"PLOS journal web sites provide the ability for users to comment on articles to facilitate community evaluation and discourse around published articles.

Comments should be used to make additions or clarifications, identify and link to material, and are designed to lead to threaded discussions concerning the content, conclusions, and consequences of a specific article.

Authors of all comments will be identified by their PLOS username.",NOT STATED,NO,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/TEH,PLoS One,YES,(Below the line) Reader comments,"PLOS journal web sites provide the ability for users to comment on articles to facilitate community evaluation and discourse around published articles.

Comments should be used to make additions or clarifications, identify and link to material, and are designed to lead to threaded discussions concerning the content, conclusions, and consequences of a specific article.

Authors of all comments will be identified by their PLOS username.",NOT STATED,NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,PLoS Pathogens,YES,Comments,Reader Comments,NOT STATED,NO,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,PLoS Pathogens,YES,(Below the line) Comments,Reader comments,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,PLoS Pathogens,YES,(Below the line) Comments,"PLOS journal web sites provide the ability for users to comment on articles to facilitate community evaluation and discourse around published articles. Comments should be used to make additions or clarifications, identify and link to material, and are designed to lead to threaded discussions concerning the content, conclusions, and consequences of a specific article. Authors of all comments will be identified by their PLOS username.",NOT STATED,NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,PROCEEDINGS OF THE IEEE,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PROCEEDINGS OF THE IEEE,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/RTT,PROCEEDINGS OF THE IEEE,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,YES,"Letters to the Editor (""Letters"")","""Brief comments that allow readers to constructively address a difference of opinion with authors of a recent PNAS article. Readers may comment on exceptional studies or point out potential flaws in studies published in the journal.""","YES (provide number of words/comments below), ""Letters are limited to 500 words""","YES (provide detail of time limits below), ""[Letters] must be submitted within 6 months of the publication of the subject article in Latest Articles..""","YES (provide number of references below), ""10 references""",NOT STATED,YES (opens another page),"Below the line comments (""Comments"")","""Comments""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,YES,Letters,"Letters are brief comments that allow readers to constructively address a difference of opinion with authors of a recent PNAS article. Readers may comment on exceptional studies or point out potential flaws in studies published in the journal. Letters may not include requests to cite the Letter writer's work, accusations of misconduct, or personal comments to an author. Letters are limited to 500 words and 10 references, and must be submitted within 6 months of the publication of the subject article in Latest Articles. Unsolicited Letters are welcome.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), 6 months","YES (provide number of references below), 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,YES,Letters,"Letters are brief comments that allow readers to constructively address a difference of opinion with authors of a recent PNAS article. Readers may comment on exceptional studies or point out potential flaws in studies published in the journal. Letters may not include requests to cite the Letter writer's work, accusations of misconduct, or personal comments to an author. Letters are limited to 500 words and 10 references, and must be submitted within 6 months of the publication of the subject article in Latest Articles. Unsolicited Letters are welcome.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), 6 months","YES (provide number of references below), 10",NOT STATED,NO (submits form),"Below the line comments (""Comments"")","""Comments""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,PROGRESS IN NEUROBIOLOGY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,PROGRESS IN NEUROBIOLOGY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,PROGRESS IN NEUROBIOLOGY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,PROGRESS IN PHOTOVOLTAICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,PROGRESS IN PHOTOVOLTAICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,PROGRESS IN PHOTOVOLTAICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Perspectives on Psychological Science,NO,"NA","NA","NA","NA","NA","NA",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,Perspectives on Psychological Science,NO,"NA","NA","NA","NA","NA","NA",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
